2024-11-04 17:35:05.128 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -0.9616765975952148, Gravity-Corrected Acc: -1.1540119171142578, Filtered Acc: -0.9677797031156992, Velocity: 0.4906977697460993, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.138 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.2329052686691284, Gravity-Corrected Acc: -1.479486322402954, Filtered Acc: -1.274803674688052, Velocity: 0.47948485285708053, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.150 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.566327452659607, Gravity-Corrected Acc: -1.8795929431915281, Filtered Acc: -1.6376772357901377, Velocity: 0.5114146931351593, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.158 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.7250522375106812, Gravity-Corrected Acc: -2.070062685012817, Filtered Acc: -1.8971085053237453, Velocity: 0.40252366763920866, dt: 0.009, Displacement (cm): 6.0
2024-11-04 17:35:05.175 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.937127947807312, Gravity-Corrected Acc: -2.3245535373687742, Filtered Acc: -2.153575524550763, Velocity: 0.5550936292846727, dt: 0.013, Displacement (cm): 6.0
2024-11-04 17:35:05.183 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -2.0507748126983643, Gravity-Corrected Acc: -2.460929775238037, Filtered Acc: -2.3379880749631274, Velocity: 0.44499100959739674, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.188 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -2.00821590423584, Gravity-Corrected Acc: -2.4098590850830077, Filtered Acc: -2.3811106810350555, Velocity: 0.2285650726033124, dt: 0.006, Displacement (cm): 6.0
2024-11-04 17:35:05.198 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.9171106815338135, Gravity-Corrected Acc: -2.300532817840576, Filtered Acc: -2.332763963118368, Velocity: 0.3573724144514201, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.208 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.8581924438476562, Gravity-Corrected Acc: -2.2298309326171872, Filtered Acc: -2.2710041448176597, Velocity: 0.33435357391174, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.220 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.7237951755523682, Gravity-Corrected Acc: -2.0685542106628416, Filtered Acc: -2.149534184324769, Velocity: 0.3434759704926314, dt: 0.011, Displacement (cm): 6.0
2024-11-04 17:35:05.229 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.6121248006820679, Gravity-Corrected Acc: -1.9345497608184814, Filtered Acc: -2.0205435302209964, Velocity: 0.291400493693299, dt: 0.01, Displacement (cm): 6.0
2024-11-04 17:35:05.239 20856-20856 CPR Data                com.example.pushoflife               D  Original Acc: -1.5833672285079956, Gravity-Corrected Acc: -1.9000406742095945, Filtered Acc: -1.9482418166141553, Velocity: 0.2715565669591232, dt: 0.01, Displacement (cm): 6.0
